DATE,USALORSGPNOSTSAM
2017-05-01,99.7074027925965
2017-06-01,99.7406112009105
2017-07-01,99.7897070334205
2017-08-01,99.8539489423444
2017-09-01,99.9312192463695
2017-10-01,100.016602101787
2017-11-01,100.104546808722
2017-12-01,100.19045581784
2018-01-01,100.272100760764
2018-02-01,100.347818751914
2018-03-01,100.415031750054
2018-04-01,100.469215719541
2018-05-01,100.5050555086
2018-06-01,100.518572337607
2018-07-01,100.510602090945
2018-08-01,100.484970727991
2018-09-01,100.448263687057
2018-10-01,100.410923066265
2018-11-01,100.38406173756
2018-12-01,100.376424771045
2019-01-01,100.3906948808
2019-02-01,100.426020252189
2019-03-01,100.479021468526
2019-04-01,100.543344596678
2019-05-01,100.611997930129
2019-06-01,100.67893987729
2019-07-01,100.740422787588
2019-08-01,100.794486514682
2019-09-01,100.84090744581
2019-10-01,100.881743544754
2019-11-01,100.91821931455
2019-12-01,100.948081354955
2020-01-01,100.963340020829
2020-02-01,100.952075656159
2020-03-01,96.0785089018487
2020-04-01,93.0894095966939
2020-05-01,91.5728968151048
2020-06-01,93.3874583529584
2020-07-01,95.1800849839751
2020-08-01,96.9500673166957
2020-09-01,97.136333829695
2020-10-01,97.3274266389068
2020-11-01,97.5360790017162
2020-12-01,97.9111920728771
2021-01-01,98.3104885049416
2021-02-01,98.6903624143927
2021-03-01,98.9151812322181
2021-04-01,99.1005674626006
2021-05-01,99.2594175705464
2021-06-01,99.4368405768396
2021-07-01,99.6234446271637
2021-08-01,99.8143958182136
2021-09-01,99.9993203037286
2021-10-01,100.151788050441
2021-11-01,100.24144445556
2021-12-01,100.248561556477
2022-01-01,100.182995189318
2022-02-01,100.067669609354
2022-03-01,99.9271486742004
2022-04-01,99.7798662593706
2022-05-01,99.6373473253912
